protID	geneID	protName	capUse_CN4	capUse_CN22	capUse_CN38	capUse_CN75	capUse_hGR	absUse_CN4	absUse_CN22	absUse_CN38	absUse_CN75	absUse_hGR	UB_CN4	UB_CN22	UB_CN38	UB_CN75	UB_hGR
P00360	YJL052W	TDH1	0	0.6	1	1	1	0	2.4e-05	1.35e-05	8.61e-06	6.3e-06	4.37e-05	4.01e-05	1.35e-05	8.61e-06	6.3e-06
P00401	Q0045	COX1	1	0.96	1	0.706	1	4.77e-06	3.95e-06	2.84e-06	1.65e-06	8.84e-06	4.77e-06	4.12e-06	2.84e-06	2.34e-06	8.84e-06
P00410	Q0250	COX2	1	0.96	1	0.706	1	4.77e-06	3.95e-06	2.84e-06	1.65e-06	8.84e-06	4.77e-06	4.12e-06	2.84e-06	2.34e-06	8.84e-06
P00420	Q0275	COX3	1	0.96	1	0.706	1	4.77e-06	3.95e-06	2.84e-06	1.65e-06	8.84e-06	4.77e-06	4.12e-06	2.84e-06	2.34e-06	8.84e-06
P00425	YIL111W	COX5B	0.707	0.778	0.809	0.57	0.986	4.14e-06	3.95e-06	2.84e-06	1.65e-06	8.72e-06	5.85e-06	5.08e-06	3.51e-06	2.9e-06	8.84e-06
P00427	YHR051W	COX6	0.707	0.778	0.809	0.57	0.986	4.14e-06	3.95e-06	2.84e-06	1.65e-06	8.72e-06	5.85e-06	5.08e-06	3.51e-06	2.9e-06	8.84e-06
P00431	YKR066C	CCP1	0	0	0	0	0	0	0	0	0	0	1.11e-06	1.37e-06	7.41e-07	7.01e-07	4.54e-07
P00498	YER055C	HIS1	0.152	0.0985	0.12	0.0995	0.372	8.52e-07	9.37e-07	5.62e-07	4.6e-07	2.03e-06	5.62e-06	9.51e-06	4.7e-06	4.62e-06	5.44e-06
P00549	YAL038W	CDC19	0.0195	0.0257	0.0492	0.103	0.286	1.22e-06	2.29e-06	3.87e-06	6.96e-06	1.09e-05	6.25e-05	8.89e-05	7.87e-05	6.78e-05	3.79e-05
P00560	YCR012W	PGK1	0.00411	0.00517	0.0129	0.026	0.0459	9.07e-07	1.3e-06	1.84e-06	3.06e-06	4.8e-06	0.000221	0.000251	0.000143	0.000118	0.000104
P00572	YJR057W	CDC8	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P00635	YBR093C	PHO5	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P00724	YIL162W	SUC2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P00812	YPL111W	CAR1	0	0	0	0	0	0	0	0	0	0	5.08e-07	3.06e-07	8.8e-08	6.82e-08	1.61e-07
P00815	YCL030C	HIS4	0.00859	0.0106	0.00766	0.00667	0.0156	6.73e-08	7.4e-08	4.44e-08	3.63e-08	1.6e-07	7.84e-06	6.98e-06	5.8e-06	5.45e-06	1.02e-05
P00817	YBR011C	IPP1	0.000358	0.000452	0.000625	2.06e-05	0.00327	1.07e-08	1.41e-08	1.28e-08	3.85e-10	7.19e-08	2.98e-05	3.12e-05	2.05e-05	1.86e-05	2.2e-05
P00830	YJR121W	ATP2	0.0599	0.0689	0.0621	0.551	1	4.92e-06	4.67e-06	3.39e-06	2.01e-05	8.01e-05	8.22e-05	6.77e-05	5.46e-05	3.65e-05	8.01e-05
P00854	Q0085	ATP6	0.584	0.672	0.605	0.551	1	1.6e-05	1.52e-05	1.1e-05	6.7e-06	3.3e-05	2.74e-05	2.26e-05	1.82e-05	1.22e-05	3.3e-05
P00856	Q0080	ATP8	0.584	0.672	0.605	0.551	1	1.6e-05	1.52e-05	1.1e-05	6.7e-06	3.3e-05	2.74e-05	2.26e-05	1.82e-05	1.22e-05	3.3e-05
P00890	YNR001C	CIT1	0	0	0.0292	0.0172	0.0798	0	0	3.26e-07	1.35e-07	2.9e-06	3.11e-05	2.16e-05	1.12e-05	7.83e-06	3.63e-05
P00899	YER090W	TRP2	0.864	0.99	0.99	0.99	0.99	1.7e-06	1.87e-06	1.12e-06	9.19e-07	4.05e-06	1.97e-06	1.89e-06	1.13e-06	9.28e-07	4.09e-06
P00912	YDR007W	TRP1	0	0	0	0	0	1.43e-08	1.57e-08	9.44e-09	7.72e-09	3.4e-08	Inf	Inf	Inf	Inf	Inf
P00924	YGR254W	ENO1	0.00973	0.025	0.0579	0	0	1.31e-06	2.4e-06	3.96e-06	0	0	0.000134	9.59e-05	6.84e-05	6.28e-05	2.74e-05
P00925	YHR174W	ENO2	0	0	0	0.169	0.241	0	0	0	2.29e-05	3.61e-05	0.000199	0.000232	0.000149	0.000135	0.00015
P00927	YER086W	ILV1	0.00666	0.00695	0.00702	0.00601	0.018	2.25e-08	2.47e-08	1.48e-08	1.21e-08	5.35e-08	3.38e-06	3.56e-06	2.12e-06	2.02e-06	2.98e-06
P00931	YGL026C	TRP5	0.99	0.99	0.99	0.99	0.99	4.42e-05	4.87e-05	2.92e-05	2.39e-05	0.000105	4.47e-05	4.92e-05	2.95e-05	2.41e-05	0.000106
P00937	YKL211C	TRP3	0.824	0.881	0.96	0.905	0.99	1.79e-06	1.97e-06	1.18e-06	9.67e-07	4.26e-06	2.17e-06	2.23e-06	1.23e-06	1.07e-06	4.3e-06
P00942	YDR050C	TPI1	0.000207	0.000277	0.000605	0.00117	0.00205	2.55e-08	3.68e-08	5.47e-08	9.09e-08	1.4e-07	0.000123	0.000133	9.04e-05	7.76e-05	6.82e-05
P00950	YKL152C	GPM1	0.00398	0.00542	0.0153	0.0351	0.082	5.22e-07	9.56e-07	1.58e-06	2.82e-06	4.45e-06	0.000131	0.000176	0.000103	8.04e-05	5.42e-05
P00958	YGR264C	MES1	0.99	0.99	0.99	0.99	0.99	4.29e-06	4.71e-06	2.83e-06	2.31e-06	1.02e-05	4.33e-06	4.76e-06	2.86e-06	2.34e-06	1.03e-05
P03962	YEL021W	URA3	0.00476	0.00486	0.00631	0.00884	0.02	4.96e-09	4.96e-09	4.96e-09	4.96e-09	1.44e-08	1.04e-06	1.02e-06	7.87e-07	5.62e-07	7.19e-07
P03965	YJR109C	CPA2	0.000606	0.000556	0.000689	0.000561	0.0016	3.16e-09	3.37e-09	2.45e-09	2.2e-09	8.07e-09	5.21e-06	6.06e-06	3.55e-06	3.91e-06	5.03e-06
P04037	YGL187C	COX4	0.707	0.778	0.809	0.57	0.986	4.14e-06	3.95e-06	2.84e-06	1.65e-06	8.72e-06	5.85e-06	5.08e-06	3.51e-06	2.9e-06	8.84e-06
P04039	YLR395C	COX8	0.707	0.778	0.809	0.57	1	8.28e-06	7.91e-06	5.67e-06	3.31e-06	1.74e-05	1.17e-05	1.02e-05	7.01e-06	5.8e-06	1.74e-05
P04046	YMR300C	ADE4	0.0117	0.0106	0.0183	0.021	0.0355	4.56e-08	4.56e-08	4.56e-08	4.56e-08	1.32e-07	3.91e-06	4.28e-06	2.5e-06	2.17e-06	3.72e-06
P04076	YHR018C	ARG4	0.000435	0.000225	0.000186	0.000175	0.00103	1.9e-09	2.09e-09	1.26e-09	1.03e-09	4.52e-09	4.37e-06	9.3e-06	6.77e-06	5.87e-06	4.41e-06
P04161	YDR408C	ADE8	0.124	0.249	0.391	0.393	0.545	3.38e-07	3.38e-07	3.38e-07	3.38e-07	9.81e-07	2.73e-06	1.36e-06	8.65e-07	8.6e-07	1.8e-06
P04173	YCL018W	LEU2	0.067	0.0887	0.0773	0.0849	0.233	1.14e-06	1.25e-06	7.5e-07	6.13e-07	2.7e-06	1.7e-05	1.41e-05	9.7e-06	7.23e-06	1.16e-05
P04385	YBR020W	GAL1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P04397	YBR019C	GAL10	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P04801	YIL078W	THS1	0.395	0.48	0.472	0.434	0.936	2e-06	2.2e-06	1.32e-06	1.08e-06	4.75e-06	5.06e-06	4.58e-06	2.79e-06	2.49e-06	5.08e-06
P04802	YLL018C	DPS1	0.129	0.168	0.184	0.174	0.474	1.54e-06	1.69e-06	1.02e-06	8.32e-07	3.66e-06	1.2e-05	1.01e-05	5.54e-06	4.77e-06	7.72e-06
P04803	YDR268W	MSW1	0	0	0	0	0	0	0	0	0	0	1.49e-07	1.01e-07	8e-08	5.92e-08	8.41e-08
P04806	YFR053C	HXK1	0	0	0	0.75	0	0	0	0	3.44e-06	0	4.9e-05	2.73e-05	7.81e-06	4.58e-06	1.95e-05
P04807	YGL253W	HXK2	0.243	0	0	0	0	2.59e-06	0	0	0	0	1.07e-05	1.27e-05	1.06e-05	8.4e-06	1.44e-05
P05030	YGL008C	PMA1	0	0	0	0	0	0	0	0	0	7.58e-06	Inf	Inf	Inf	Inf	Inf
P05150	YJL088W	ARG3	0.00574	0.00525	0.0043	0.00434	0.0157	6.8e-08	7.48e-08	4.49e-08	3.67e-08	1.62e-07	1.18e-05	1.42e-05	1.04e-05	8.45e-06	1.03e-05
P05373	YGL040C	HEM2	1.47e-05	2.4e-05	3.34e-05	3.9e-05	3.15e-05	8.98e-11	8.98e-11	8.98e-11	8.98e-11	2.6e-10	6.09e-06	3.74e-06	2.69e-06	2.3e-06	8.26e-06
P05374	YGR157W	CHO2	0.0839	0.0189	0.00442	0.108	0.0471	2.53e-08	8.65e-09	1.88e-09	4.33e-08	2.99e-08	3.01e-07	4.59e-07	4.26e-07	3.99e-07	6.34e-07
P05375	YJR073C	OPI3	0.0945	0.0755	0.231	0.286	0.694	5.06e-08	5.58e-08	1.14e-07	8.66e-08	2.53e-07	5.35e-07	7.39e-07	4.93e-07	3.03e-07	3.65e-07
P05626	YPL078C	ATP4	0.584	0.672	0.605	0.551	1	1.6e-05	1.52e-05	1.1e-05	6.7e-06	3.3e-05	2.74e-05	2.26e-05	1.82e-05	1.22e-05	3.3e-05
P05694	YER091C	MET6	0.271	0.332	0.514	0.651	0.414	1.43e-05	1.34e-05	1.71e-05	1.81e-05	4.59e-05	5.27e-05	4.05e-05	3.34e-05	2.79e-05	0.000111
P06106	YLR303W	MET17	0.000981	0.00166	0.00141	0.00127	0.00331	1.65e-07	1.82e-07	1.09e-07	8.93e-08	3.93e-07	0.000169	0.000109	7.72e-05	7.02e-05	0.000119
P06115	YGR088W	CTT1	0	0	0	0	0	0	0	0	0	0	6.68e-08	1.12e-07	3.41e-08	2.27e-08	Inf
P06168	YLR355C	ILV5	0.0759	0.118	0.143	0.259	0.305	7.88e-06	8.67e-06	5.2e-06	7.71e-06	1.87e-05	0.000104	7.36e-05	3.65e-05	2.97e-05	6.15e-05
P06169	YLR044C	PDC1	0.00605	0.0244	0.0494	0.103	0.184	5.57e-07	2.23e-06	4.54e-06	1.07e-05	1.2e-05	9.2e-05	9.14e-05	9.19e-05	0.000104	6.54e-05
P06174	YOR278W	HEM4	0	0	0	0	0	0	0	0	0	0	1.95e-07	2.2e-07	1.52e-07	Inf	Inf
P06197	YPR113W	PIS1	0	0	0	0.919	0	3.98e-07	3.38e-07	5.81e-07	6.5e-07	1.42e-06	Inf	Inf	Inf	7.08e-07	Inf
P06208	YNL104C	LEU4	0	0	0	0	0	5.44e-07	5.54e-07	4.92e-07	0	1.77e-06	Inf	Inf	Inf	Inf	Inf
P06633	YOR202W	HIS3	0.00139	0.00171	0.00175	0.00137	0.00519	2.3e-09	2.53e-09	1.52e-09	1.24e-09	5.47e-09	1.65e-06	1.48e-06	8.69e-07	9.09e-07	1.05e-06
P06700	YDL042C	SIR2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	2.23e-08	1.52e-08	Inf
P06738	YPR160W	GPH1	0	0	0	0	0	0	0	0	0	0	1.9e-06	2.63e-06	2.12e-06	1.54e-06	1.16e-06
P06773	YHR144C	DCD1	0	0	0	0	0	7.14e-11	7.14e-11	7.14e-11	0	2.07e-10	Inf	Inf	Inf	Inf	Inf
P06776	YOR360C	PDE2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P06785	YOR074C	CDC21	0.00196	0.00188	0.00303	0.00281	0.00709	2.08e-09	2.08e-09	2.08e-09	2.08e-09	6.04e-09	1.06e-06	1.11e-06	6.87e-07	7.42e-07	8.52e-07
P07143	YOR065W	CYT1	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P07149	YKL182W	FAS1	0.167	0.13	0.362	0.516	1	2.29e-06	1.94e-06	3.47e-06	3.88e-06	8.45e-06	1.37e-05	1.49e-05	9.57e-06	7.53e-06	8.45e-06
P07170	YDR226W	ADK1	0.132	0.253	0.286	0.298	0.638	3.94e-06	4.18e-06	3.24e-06	2.99e-06	1.05e-05	2.99e-05	1.65e-05	1.13e-05	1e-05	1.65e-05
P07172	YIL116W	HIS5	0.000247	0.000223	0.000189	0.000159	0.000948	7.42e-10	8.16e-10	4.9e-10	4.01e-10	1.76e-09	3e-06	3.66e-06	2.6e-06	2.52e-06	1.86e-06
P07236	YKL194C	MST1	0	0	0	0	0	0	0	0	0	0	1.3e-07	Inf	8.27e-08	5.08e-08	Inf
P07244	YGL234W	ADE5,7	0.0846	0.108	0.174	0.189	0.286	7.25e-07	7.25e-07	7.25e-07	7.25e-07	2.1e-06	8.57e-06	6.69e-06	4.17e-06	3.84e-06	7.36e-06
P07245	YGR204W	ADE3	0.131	0.144	0.0918	0.0524	0.0559	1.16e-06	8.77e-07	4.15e-07	2.42e-07	4.95e-07	8.81e-06	6.08e-06	4.52e-06	4.61e-06	8.85e-06
P07246	YMR083W	ADH3	0.0927	0.093	0.0831	0.912	0	1.35e-06	1.23e-06	7.42e-07	7.11e-06	0	1.46e-05	1.32e-05	8.93e-06	7.8e-06	1.1e-05
P07250	YDR173C	ARG82	0	0	0	0	0	0	0	0	0	0	7.04e-08	Inf	Inf	Inf	Inf
P07251	YBL099W	ATP1	0.0599	0.0689	0.0621	0.551	1	4.92e-06	4.67e-06	3.39e-06	2.01e-05	8.01e-05	8.22e-05	6.77e-05	5.46e-05	3.65e-05	8.01e-05
P07255	YDL067C	COX9	1	0.96	1	0.706	1	4.77e-06	3.95e-06	2.84e-06	1.65e-06	8.84e-06	4.77e-06	4.12e-06	2.84e-06	2.34e-06	8.84e-06
P07256	YBL045C	COR1	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P07257	YPR191W	QCR2	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P07258	YOR303W	CPA1	0.00487	0.00682	0.00554	0.00492	0.00457	3.16e-09	3.37e-09	2.45e-09	2.2e-09	8.07e-09	6.49e-07	4.94e-07	4.42e-07	4.46e-07	1.76e-06
P07259	YJL130C	URA2	0.00147	0.00129	0.00176	0.00176	0.00429	9.95e-09	1.02e-08	9.23e-09	8.98e-09	2.77e-08	6.76e-06	7.87e-06	5.24e-06	5.1e-06	6.47e-06
P07262	YOR375C	GDH1	0.185	0.0644	0.0571	0.0324	0.285	6.24e-06	5.76e-06	3.27e-06	1.46e-06	1.11e-05	3.37e-05	8.94e-05	5.73e-05	4.51e-05	3.89e-05
P07263	YPR033C	HTS1	0	0	0	0	0	5.75e-08	6.32e-08	3.79e-08	3.1e-08	1.37e-07	Inf	Inf	Inf	Inf	Inf
P07264	YGL009C	LEU1	0.253	0.315	0.28	0.281	0.65	2.22e-06	2.44e-06	1.46e-06	1.2e-06	5.27e-06	8.77e-06	7.75e-06	5.24e-06	4.27e-06	8.11e-06
P07275	YHR037W	PUT2	0	0	0	0	0	0	0	0	0	0	2.6e-06	5.98e-06	5.28e-06	4.84e-06	2.37e-06
P07277	YMR208W	ERG12	0.173	0.147	0.369	0.486	0.99	2.13e-07	1.81e-07	3.22e-07	3.61e-07	7.85e-07	1.23e-06	1.23e-06	8.74e-07	7.43e-07	7.93e-07
P07283	YFL045C	SEC53	0.99	0.99	0.99	0.99	0.99	1.74e-05	1.47e-05	2.63e-05	2.94e-05	6.41e-05	1.75e-05	1.49e-05	2.66e-05	2.97e-05	6.47e-05
P07284	YDR023W	SES1	0.214	0.352	0.334	0.274	0.758	1.65e-06	1.81e-06	1.09e-06	8.9e-07	3.92e-06	7.71e-06	5.15e-06	3.26e-06	3.25e-06	5.17e-06
P07285	YDR354W	TRP4	0.481	0.742	0.783	0.822	0.99	3.4e-07	3.74e-07	2.25e-07	1.84e-07	8.09e-07	7.07e-07	5.05e-07	2.87e-07	2.23e-07	8.17e-07
P07342	YMR108W	ILV2	0.211	0.295	0.279	1	0.576	2.83e-06	3.12e-06	1.87e-06	9.37e-06	6.73e-06	1.34e-05	1.05e-05	6.7e-06	9.37e-06	1.17e-05
P07347	YHR013C	ARD1	0	0	0	0	0	0	0	0	0	0	8.45e-07	9.03e-07	4.92e-07	4.58e-07	6.4e-07
P07702	YBR115C	LYS2	0.122	0.148	0.123	0.14	0.306	2.38e-07	2.62e-07	1.57e-07	1.29e-07	5.66e-07	1.95e-06	1.77e-06	1.28e-06	9.2e-07	1.85e-06
P07806	YGR094W	VAS1	0	0	0	0	0	1.84e-07	2.02e-07	1.21e-07	9.91e-08	4.36e-07	Inf	Inf	Inf	Inf	Inf
P07807	YOR236W	DFR1	0	0	0	0	0	1.64e-09	1.64e-09	1.64e-09	1.64e-09	4.76e-09	Inf	Inf	Inf	Inf	Inf
P07991	YLR438W	CAR2	0.00107	0	0.000715	0.00453	0	5.86e-09	0	7.5e-10	4.19e-09	0	5.45e-06	3.7e-06	1.05e-06	9.26e-07	4.65e-07
P08004	YNL192W	CHS1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P08019	YIL099W	SGA1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P08067	YEL024W	RIP1	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P08417	YPL262W	FUM1	0.0046	0.00608	0.00607	0.00215	0.0279	4.49e-08	4.51e-08	3.07e-08	7.26e-09	3.43e-07	9.76e-06	7.41e-06	5.06e-06	3.38e-06	1.23e-05
P08425	YPR047W	MSF1	0	0	0	0	0	0	0	0	0	0	2.91e-07	2.15e-07	2.11e-07	1.18e-07	1.91e-07
P08431	YBR018C	GAL7	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P08432	YKL184W	SPE1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P08456	YER026C	CHO1	0	0	0	0	0	3.4e-09	2.89e-09	5.19e-09	5.82e-09	1.27e-08	Inf	Inf	Inf	Inf	Inf
P08465	YNL277W	MET2	0.143	0.183	0.151	0.159	0.394	2.07e-07	2.27e-07	1.36e-07	1.12e-07	4.92e-07	1.44e-06	1.24e-06	9.01e-07	7e-07	1.25e-06
P08524	YJL167W	ERG20	0.282	0.137	0.284	0.383	0.988	2.82e-06	2.4e-06	4.28e-06	4.79e-06	1.04e-05	1e-05	1.74e-05	1.51e-05	1.25e-05	1.05e-05
P08525	YJL166W	QCR8	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P08536	YJR010W	MET3	0	0	0	0	0	0	0	0	0	0	1.65e-05	1.24e-05	9.28e-06	7.98e-06	1.42e-05
P08566	YDR127W	ARO1	0.21	0.33	0.35	0.352	0.613	5.8e-07	6.38e-07	3.83e-07	3.13e-07	1.38e-06	2.76e-06	1.94e-06	1.09e-06	8.91e-07	2.25e-06
P08678	YJL005W	CYR1	0	0	0	0	0	0	0	0	0	0	6.49e-08	Inf	7.24e-08	7.36e-08	4.64e-08
P08679	YCR005C	CIT2	0	0	0	0	0	0	0	0	0	0	1.18e-06	5.03e-07	1.99e-07	1.74e-07	6.09e-07
P09201	YLR377C	FBP1	0	0	0	0	0	0	0	0	0	0	3.06e-06	Inf	Inf	Inf	Inf
P09368	YLR142W	PUT1	0	0	0	0	0	0	0	0	0	0	Inf	3.4e-07	3.67e-07	4.04e-07	Inf
P09436	YBL076C	ILS1	0.0325	0.0407	0.0406	0.038	0.0714	8.31e-08	9.14e-08	5.49e-08	4.49e-08	1.98e-07	2.56e-06	2.25e-06	1.35e-06	1.18e-06	2.77e-06
P09440	YBR084W	MIS1	0	0	0	0	0.0284	0	0	0	0	2.95e-08	7.01e-07	5.85e-07	3.66e-07	3.24e-07	1.04e-06
P09457	YDR298C	ATP5	0.584	0.672	0.605	0.551	1	1.6e-05	1.52e-05	1.1e-05	6.7e-06	3.3e-05	2.74e-05	2.26e-05	1.82e-05	1.22e-05	3.3e-05
P09624	YFL018C	LPD1	0.338	0.338	0.347	0.122	1	4.29e-06	4.05e-06	2.58e-06	6.92e-07	1.33e-05	1.27e-05	1.2e-05	7.44e-06	5.69e-06	1.33e-05
P09938	YJL026W	RNR2	0	0	0	0	0	0	0	0	0	0	1.69e-05	3.9e-05	2.27e-05	1.93e-05	4.43e-06
P09950	YDR232W	HEM1	0.00227	0.00343	0.00428	0.00486	0.00426	3.38e-10	3.38e-10	3.38e-10	3.38e-10	9.79e-10	1.49e-07	9.85e-08	7.89e-08	6.95e-08	2.3e-07
P0CW40	YIL172C	IMA3	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P0CW41	YJL221C	IMA4	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P0CX10	YOR393W	ERR1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P0CX11	YPL281C	ERR2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P0CX77	YLR157C	ASP3-2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P0CX78	YLR158C	ASP3-3	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P0CX79	YLR160C	ASP3-4	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P0CZ17	YLR155C	ASP3-1	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P10127	YGL256W	ADH4	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P10174	YMR256C	COX7	0.707	0.778	0.809	0.57	0.986	4.14e-06	3.95e-06	2.84e-06	1.65e-06	8.72e-06	5.85e-06	5.08e-06	3.51e-06	2.9e-06	8.84e-06
P10356	YER152C	YER152C	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P10614	YHR007C	ERG11	0.111	0.0445	0.124	0.17	0.459	2.28e-07	1.94e-07	3.46e-07	3.87e-07	8.43e-07	2.05e-06	4.36e-06	2.78e-06	2.27e-06	1.84e-06
P10659	YLR180W	SAM1	0.898	0.826	1	1	1	5.06e-06	4.29e-06	7.72e-06	8.64e-06	1.88e-05	5.63e-06	5.2e-06	7.72e-06	8.64e-06	1.88e-05
P10869	YER052C	HOM3	0.0184	0.0297	0.0351	0.0319	0.0377	6.64e-08	7.31e-08	4.38e-08	3.59e-08	1.58e-07	3.62e-06	2.46e-06	1.25e-06	1.13e-06	4.19e-06
P10963	YKR097W	PCK1	0	0	0	0	0	0	0	0	0	0	1.95e-06	1.39e-06	1.98e-07	Inf	9.58e-07
P11154	YGL062W	PYC1	0	0	0	0	0	0	0	0	0	0	2.35e-06	2.5e-06	1.76e-06	1.56e-06	4.45e-06
P11325	YLR382C	NAM2	0	0	0	0	0	0	0	0	0	0	Inf	4.89e-08	3.51e-08	2.11e-08	1.27e-07
P11353	YDR044W	HEM13	0.00126	0.00212	0.00304	0.00413	0.0032	1.63e-09	1.63e-09	1.63e-09	1.63e-09	4.74e-09	1.3e-06	7.7e-07	5.38e-07	3.96e-07	1.48e-06
P11412	YNL241C	ZWF1	0.00557	0.00905	0.0185	0.0186	0.0614	6.73e-08	1.07e-07	1.38e-07	1.24e-07	5.9e-07	1.21e-05	1.19e-05	7.48e-06	6.68e-06	9.61e-06
P11491	YDR481C	PHO8	0	0	0	0	0	0	0	0	0	0	1.71e-06	2.66e-06	2.11e-06	2.08e-06	5.29e-07
P11986	YJL153C	INO1	0.0827	0.118	0.207	0.442	1	6.01e-07	5.1e-07	8.78e-07	9.83e-07	2.14e-06	7.27e-06	4.32e-06	4.24e-06	2.22e-06	2.14e-06
P12683	YML075C	HMG1	0.106	0.0886	0.253	0.291	0.721	1.01e-07	8.55e-08	1.53e-07	1.71e-07	3.72e-07	9.55e-07	9.65e-07	6.03e-07	5.88e-07	5.16e-07
P12684	YLR450W	HMG2	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P12695	YNL071W	LAT1	0.159	0.172	0.2	0.141	1	1.45e-06	1.48e-06	1.08e-06	6.89e-07	7.29e-06	9.16e-06	8.59e-06	5.4e-06	4.88e-06	7.29e-06
P12709	YBR196C	PGI1	0.0113	0.0127	0.027	0.0584	0.0654	3.72e-07	4.98e-07	6.7e-07	1.18e-06	1.59e-06	3.3e-05	3.91e-05	2.48e-05	2.03e-05	2.42e-05
P12945	YDL040C	NAT1	0	0	0	0	0	0	0	0	0	0	7.32e-07	6.07e-07	3.78e-07	3.09e-07	6.33e-07
P13188	YOR168W	GLN4	0.392	0.554	0.492	0.467	0.906	1.14e-06	1.26e-06	7.54e-07	6.17e-07	2.72e-06	2.91e-06	2.27e-06	1.53e-06	1.32e-06	3e-06
